Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.00299,0.46340,0.06553,0.03914,0.01334,0.00188,0.02216,0.06269,0.00886
2,0.01299,0.88389,0.12500,0.13594,0.05649,0.00798,0.04527,0.08038,0.01136
3,0.00200,0.89721,0.12688,0.17101,0.11584,0.01638,0.03113,0.06431,0.00909
4,0.00000,0.85416,0.12079,0.18666,0.13325,0.01884,0.02314,0.07971,0.01127
5,0.01000,0.99040,0.14006,0.20127,0.13552,0.01916,0.01751,0.07528,0.01064
6,0.00300,0.93741,0.13257,0.20583,0.11576,0.01637,0.00370,0.09236,0.01306
7,0.01500,0.77841,0.11008,0.19651,0.10231,0.01446,0.00528,0.07689,0.01087
8,0.01999,0.81387,0.11509,0.21207,0.10619,0.01501,0.01188,0.06317,0.00893
9,0.02000,0.91214,0.12899,0.20835,0.11248,0.01590,0.02241,0.05717,0.00808
10,0.02000,0.89705,0.12686,0.19854,0.11342,0.01604,0.00882,0.07291,0.01031
11,0.01499,1.07866,0.15254,0.20347,0.12493,0.01766,0.01312,0.06984,0.00987
12,0.01299,0.91508,0.12941,0.22235,0.13889,0.01964,0.02675,0.06462,0.00913
13,0.01499,0.81413,0.11513,0.23756,0.14199,0.02008,0.00851,0.07063,0.00998
14,0.01800,0.95643,0.13526,0.24021,0.13983,0.01977,0.00745,0.07139,0.01009
15,0.00299,0.89896,0.12713,0.23306,0.13876,0.01962,0.00516,0.06654,0.00941
16,0.01000,0.94936,0.13426,0.23223,0.13708,0.01938,0.00083,0.06977,0.00986
17,0.01499,0.95625,0.13523,0.23377,0.13849,0.01958,0.00608,0.08031,0.01135
18,0.02000,0.75093,0.10619,0.25071,0.14113,0.01995,0.01440,0.05903,0.00834
19,0.02000,0.86838,0.12280,0.26091,0.14601,0.02064,0.00060,0.06812,0.00963
20,0.01000,1.01892,0.14409,0.25899,0.15030,0.02125,0.01020,0.06258,0.00885
21,0.00299,1.00141,0.14162,0.24232,0.15793,0.02233,0.00601,0.06305,0.00891
22,0.00999,1.02014,0.14427,0.23441,0.15238,0.02155,0.00349,0.05878,0.00831
23,0.01500,0.95865,0.13557,0.24122,0.15105,0.02136,0.01069,0.06888,0.00974
24,0.01500,0.94874,0.13417,0.25379,0.16345,0.02311,0.01511,0.07435,0.01051
25,0.01999,0.96974,0.13714,0.26225,0.17074,0.02414,0.00268,0.07215,0.01020
26,0.01999,1.00339,0.14190,0.27274,0.16476,0.02330,0.01144,0.08523,0.01205
27,0.02000,1.00304,0.14185,0.28245,0.17496,0.02474,0.01976,0.09584,0.01355
28,0.02000,1.08110,0.15289,0.26920,0.20059,0.02836,0.02941,0.07605,0.01075
29,0.00816,0.94374,0.13482,0.23503,0.14541,0.02077,0.00790,0.06377,0.00911
30,0.01020,1.00655,0.14379,0.24559,0.14977,0.02139,0.01929,0.06545,0.00935
31,0.01530,0.88474,0.12639,0.27258,0.16063,0.02294,0.02463,0.06700,0.00957
32,0.00714,1.10559,0.15794,0.29913,0.16839,0.02405,0.00736,0.06930,0.00990
33,0.02040,0.99220,0.14174,0.30369,0.15514,0.02216,0.01535,0.06429,0.00918
34,0.01020,0.97436,0.13919,0.29230,0.14496,0.02070,0.01711,0.05633,0.00804
35,0.01530,1.00418,0.14345,0.28040,0.14095,0.02013,0.00536,0.05804,0.00829
36,0.02040,1.05887,0.15126,0.28064,0.15900,0.02271,0.01626,0.07053,0.01007
37,0.01530,0.98665,0.14095,0.29272,0.16745,0.02392,0.00312,0.06834,0.00976
38,0.02040,1.07042,0.15291,0.29022,0.16469,0.02352,0.01748,0.07572,0.01081
39,0.00816,1.01826,0.14546,0.27670,0.16172,0.02310,0.01322,0.05794,0.00827
40,0.02040,0.98829,0.14118,0.26575,0.14863,0.02123,0.00149,0.07886,0.01126
41,0.00612,0.93969,0.13424,0.26952,0.14314,0.02044,0.00353,0.06706,0.00958
42,0.00714,1.17651,0.16807,0.25965,0.13473,0.01924,0.01553,0.06387,0.00912
43,0.02040,1.04485,0.14926,0.24775,0.13119,0.01874,0.00182,0.07054,0.01007
44,0.00306,0.82235,0.11747,0.24858,0.14555,0.02079,0.01462,0.06382,0.00911
45,0.02040,1.02299,0.14614,0.26589,0.15576,0.02225,0.00990,0.05850,0.00835
46,0.02040,1.01669,0.14524,0.26909,0.15350,0.02192,0.00789,0.05166,0.00738
47,0.00612,1.04176,0.14882,0.28444,0.14611,0.02087,0.01821,0.07083,0.01011
48,0.01734,1.06706,0.15243,0.29808,0.15601,0.02228,0.00205,0.06832,0.00976
49,0.00204,0.91906,0.13129,0.28888,0.16675,0.02382,0.01099,0.05921,0.00845
50,0.00714,0.86082,0.12297,0.27912,0.15362,0.02194,0.00377,0.07991,0.01141
51,0.00714,1.05786,0.15112,0.27629,0.15080,0.02154,0.00108,0.06246,0.00892
52,0.02040,0.93371,0.13338,0.27418,0.13792,0.01970,0.00414,0.07143,0.01020
53,0.02040,1.10808,0.15829,0.27856,0.14418,0.02059,0.00840,0.06579,0.00939
54,0.00714,1.07466,0.15352,0.27887,0.14656,0.02093,0.00608,0.07471,0.01067
55,0.02040,0.92664,0.13237,0.27325,0.16266,0.02323,0.00336,0.06884,0.00983
56,0.01020,0.99025,0.14146,0.27528,0.16807,0.02401,0.00612,0.07418,0.01059
57,0.01020,0.91182,0.13026,0.27995,0.17405,0.02486,0.00326,0.06671,0.00953
58,0.02040,0.90468,0.12924,0.29013,0.17037,0.02433,0.00148,0.05803,0.00829
59,0.01224,0.83973,0.11996,0.27165,0.16091,0.02298,0.01902,0.06798,0.00971
60,0.02040,0.69237,0.09891,0.26365,0.16535,0.02362,0.00443,0.06701,0.00957
61,0.00510,0.95250,0.13607,0.25624,0.17604,0.02514,0.00201,0.05817,0.00831
62,0.01836,1.28510,0.18358,0.26346,0.17091,0.02441,0.00900,0.07371,0.01053
63,0.00816,1.01269,0.14467,0.25995,0.16051,0.02293,0.00653,0.08298,0.01185
64,0.01326,1.09789,0.15684,0.25215,0.15909,0.02272,0.00701,0.05949,0.00849
65,0.00102,0.99997,0.14285,0.25089,0.16847,0.02406,0.00521,0.07273,0.01039
66,0.01020,0.92405,0.13200,0.24922,0.16979,0.02425,0.00655,0.05591,0.00798
67,0.00306,1.05416,0.15059,0.24853,0.16483,0.02354,0.00756,0.06399,0.00914
68,0.00306,0.88354,0.12622,0.24749,0.17671,0.02524,0.00065,0.06671,0.00953
69,0.00204,1.19838,0.17119,0.26040,0.18459,0.02637,0.00648,0.05670,0.00810
70,0.02040,1.04250,0.14892,0.26567,0.19450,0.02778,0.00569,0.06758,0.00965
71,0.00510,0.99975,0.14282,0.26876,0.18913,0.02701,0.00442,0.07144,0.01020
72,0.01530,0.97772,0.13967,0.27612,0.17586,0.02512,0.00071,0.07839,0.01119
73,0.00204,0.72912,0.10416,0.27618,0.17304,0.02472,0.01238,0.07085,0.01012
74,0.00204,0.74832,0.10690,0.26486,0.16985,0.02426,0.01105,0.07201,0.01028
75,0.00306,0.86657,0.12379,0.25583,0.16021,0.02288,0.00914,0.07391,0.01055
76,0.01326,0.87771,0.12538,0.26042,0.15498,0.02214,0.01399,0.07385,0.01055
77,0.02040,0.94339,0.13477,0.26779,0.15788,0.02255,0.00443,0.07224,0.01032
78,0.00510,0.96865,0.13837,0.27732,0.16171,0.02310,0.00967,0.07565,0.01080
79,0.02040,1.05824,0.15117,0.28772,0.15958,0.02279,0.00618,0.06648,0.00949
80,0.01224,0.89491,0.12784,0.29513,0.16643,0.02377,0.00171,0.06665,0.00952
81,0.01530,0.77920,0.11131,0.29917,0.16029,0.02289,0.00525,0.06922,0.00988
82,0.01326,0.99050,0.14150,0.28439,0.16338,0.02334,0.01681,0.06515,0.00930
83,0.02040,0.99205,0.14172,0.28356,0.16110,0.02301,0.00238,0.07154,0.01022
84,0.01224,0.98356,0.14050,0.29267,0.15836,0.02262,0.01001,0.07153,0.01021
85,0.00000,0.91517,0.13073,0.29729,0.17005,0.02429,0.00355,0.07178,0.01025
86,0.02040,1.05655,0.15093,0.29651,0.17946,0.02563,0.01834,0.07440,0.01062
87,0.01530,0.93022,0.13288,0.28653,0.18167,0.02595,0.01078,0.06721,0.00960
88,0.00612,0.97161,0.13880,0.28121,0.17802,0.02543,0.01879,0.07946,0.01135
89,0.01224,0.92936,0.13276,0.27789,0.17196,0.02456,0.01315,0.08816,0.01259
90,0.00612,1.01159,0.14451,0.29471,0.15944,0.02277,0.00729,0.07672,0.01096
91,0.00204,1.01121,0.14445,0.30825,0.16901,0.02414,0.01167,0.09247,0.01321
92,0.01836,0.93206,0.13315,0.30119,0.20123,0.02874,0.02464,0.09426,0.01346
93,0.02083,1.04875,0.15137,0.29488,0.20435,0.02949,0.00852,0.10649,0.01537
94,0.00729,1.09172,0.15757,0.31948,0.24642,0.03556,0.00926,0.09227,0.01331
95,0.01063,1.03126,0.15042,0.31529,0.17415,0.02540,0.01082,0.06740,0.00983
96,0.01063,0.94485,0.13782,0.32494,0.16474,0.02403,0.00019,0.06363,0.00928
97,0.00744,0.90957,0.13267,0.32408,0.15738,0.02295,0.00303,0.06901,0.01006
98,0.00319,0.97655,0.14244,0.30732,0.15287,0.02229,0.02132,0.07790,0.01136
99,0.00000,1.12514,0.16411,0.29045,0.15662,0.02284,0.01145,0.08034,0.01171
100,0.02127,1.06245,0.15497,0.28518,0.15066,0.02197,0.00583,0.07192,0.01049
101,0.02127,0.90745,0.13236,0.26992,0.15684,0.02287,0.01382,0.07022,0.01024
102,0.00851,0.93707,0.13668,0.26625,0.16411,0.02393,0.01191,0.06686,0.00975
103,0.01276,1.15502,0.16847,0.28188,0.16962,0.02474,0.01605,0.06319,0.00921
104,0.02127,0.97395,0.14206,0.28830,0.16359,0.02386,0.00501,0.06422,0.00936
105,0.02127,1.06933,0.15597,0.29178,0.17857,0.02604,0.00157,0.05974,0.00871
106,0.01063,1.10371,0.16099,0.28526,0.17768,0.02591,0.00216,0.07053,0.01028
107,0.01063,1.09592,0.15985,0.28287,0.18415,0.02686,0.00074,0.07377,0.01076
108,0.00851,1.04730,0.15276,0.28687,0.18131,0.02644,0.00349,0.07037,0.01026
109,0.02127,1.11687,0.16291,0.28908,0.17961,0.02619,0.00309,0.06823,0.00995
110,0.01276,0.89516,0.13057,0.29788,0.17714,0.02583,0.00816,0.06972,0.01017
111,0.01063,0.95293,0.13899,0.31108,0.17536,0.02558,0.00996,0.05698,0.00831
112,0.01595,0.93314,0.13611,0.32315,0.17723,0.02585,0.00963,0.06557,0.00956
113,0.02127,0.92665,0.13516,0.31610,0.18445,0.02690,0.00864,0.07389,0.01077
114,0.01063,1.10400,0.16103,0.31914,0.19328,0.02819,0.00085,0.06846,0.00998
115,0.01276,1.04639,0.15263,0.32427,0.18417,0.02686,0.00426,0.06933,0.01011
116,0.02127,0.92843,0.13542,0.33590,0.17174,0.02505,0.01907,0.07876,0.01148
117,0.02127,1.05587,0.15401,0.34383,0.17560,0.02561,0.00412,0.06665,0.00972
118,0.02127,0.99806,0.14558,0.33563,0.18634,0.02718,0.01625,0.07628,0.01112
119,0.00000,0.89126,0.13000,0.33435,0.19797,0.02887,0.00018,0.06327,0.00922
120,0.02127,0.80607,0.11757,0.33634,0.20154,0.02939,0.00079,0.07000,0.01021
121,0.02127,1.12513,0.16411,0.32490,0.18843,0.02748,0.01583,0.06319,0.00921
122,0.02127,1.01377,0.14787,0.31294,0.17367,0.02533,0.00874,0.07329,0.01069
123,0.01063,0.84412,0.12312,0.29167,0.17623,0.02570,0.02206,0.06058,0.00883
124,0.01808,0.96051,0.14010,0.28371,0.18900,0.02756,0.00289,0.07885,0.01150
125,0.01595,1.02064,0.14887,0.27801,0.20113,0.02933,0.00069,0.06890,0.01005
126,0.01276,1.05817,0.15435,0.27999,0.18947,0.02763,0.00184,0.07281,0.01062
127,0.02127,0.99518,0.14516,0.27695,0.19456,0.02838,0.00481,0.08780,0.01280
128,0.01595,0.85259,0.12436,0.28665,0.18233,0.02659,0.00870,0.09044,0.01319
129,0.01382,1.11768,0.16303,0.29496,0.19619,0.02861,0.00255,0.07848,0.01144
130,0.02127,0.96638,0.14096,0.30813,0.21840,0.03185,0.00583,0.06854,0.00999
131,0.00326,0.92656,0.13661,0.29823,0.18402,0.02713,0.00046,0.07068,0.01042
132,0.01413,1.04140,0.15354,0.29750,0.19501,0.02875,0.00618,0.07289,0.01074
133,0.02173,1.04161,0.15357,0.29757,0.18468,0.02723,0.00147,0.07105,0.01047
134,0.02173,0.96214,0.14186,0.29645,0.18641,0.02748,0.00084,0.06221,0.00917
135,0.00543,0.85910,0.12666,0.30681,0.16751,0.02469,0.00684,0.07503,0.01106
136,0.00760,1.00585,0.14830,0.31190,0.16692,0.02461,0.00180,0.06859,0.01011
137,0.02173,1.06498,0.15702,0.31431,0.17748,0.02616,0.00270,0.06433,0.00948
138,0.00543,1.16265,0.17142,0.32154,0.18117,0.02671,0.01105,0.06577,0.00969
139,0.01630,0.82850,0.12215,0.33823,0.18365,0.02707,0.01337,0.06274,0.00925
140,0.00760,1.10261,0.16257,0.33393,0.18539,0.02733,0.00357,0.07261,0.01070
141,0.02173,1.15418,0.17017,0.31202,0.17198,0.02535,0.00866,0.08345,0.01230
142,0.01086,1.00004,0.14744,0.29166,0.17512,0.02582,0.00973,0.10058,0.01483
143,0.00217,1.08442,0.15988,0.30053,0.18082,0.02666,0.01146,0.12215,0.01801
144,0.00869,0.89389,0.13179,0.30724,0.19534,0.02880,0.00179,0.12933,0.01906
145,0.00869,1.12705,0.16617,0.29563,0.18636,0.02747,0.00662,0.12404,0.01828
146,0.01630,1.11521,0.16442,0.28670,0.18328,0.02702,0.01541,0.11267,0.01661
147,0.00888,0.93839,0.13988,0.27756,0.14050,0.02094,0.01348,0.07872,0.01173
148,0.01444,0.90533,0.13495,0.29016,0.14988,0.02234,0.01242,0.06457,0.00962
149,0.01666,0.94604,0.14102,0.28898,0.13533,0.02017,0.01185,0.07480,0.01115
150,0.01333,0.91082,0.13577,0.26768,0.13741,0.02048,0.02404,0.06789,0.01012
151,0.02222,0.92228,0.13748,0.25709,0.14769,0.02201,0.00226,0.06373,0.00950
152,0.01333,0.96766,0.14425,0.25541,0.15093,0.02249,0.00650,0.06269,0.00934
153,0.01999,1.08209,0.16130,0.26236,0.15177,0.02262,0.00766,0.06481,0.00966
154,0.00000,0.99688,0.14860,0.27105,0.14120,0.02105,0.00767,0.06935,0.01033
155,0.00777,0.97848,0.14586,0.28472,0.15962,0.02379,0.01611,0.06108,0.00910
156,0.00444,0.81811,0.12195,0.28905,0.16742,0.02495,0.00234,0.06531,0.00973
157,0.02222,0.84620,0.12614,0.31275,0.16826,0.02508,0.01789,0.06891,0.01027
158,0.00444,1.09040,0.16254,0.31695,0.15484,0.02308,0.00671,0.06989,0.01041
159,0.01333,1.09241,0.16284,0.31443,0.14121,0.02105,0.00382,0.08403,0.01252
160,0.00333,0.88903,0.13252,0.29543,0.14378,0.02143,0.01739,0.06563,0.00978
161,0.00888,0.93519,0.13941,0.29083,0.15297,0.02280,0.00423,0.06803,0.01014
162,0.02222,0.92942,0.13855,0.29885,0.16289,0.02428,0.01113,0.07283,0.01085
163,0.02222,0.98107,0.14624,0.30905,0.16849,0.02511,0.00600,0.06001,0.00894
164,0.00888,1.08567,0.16184,0.31641,0.17631,0.02628,0.00866,0.07615,0.01135
165,0.0,0.92020,0.13717,0.31955,0.17461,0.02603,0.00273,0.06531,0.00973
166,0.01888,0.88394,0.13177,0.32399,0.18421,0.02746,0.00037,0.06617,0.00986
