Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.00500,0.38330,0.05420,0.04106,0.01038,0.00146,0.03668,0.05737,0.00811
2,0.02000,1.11076,0.15708,0.13373,0.05191,0.00734,0.04718,0.06284,0.00888
3,0.00499,1.00728,0.14245,0.15075,0.10267,0.01451,0.01406,0.06165,0.00871
4,0.01699,0.92008,0.13011,0.17277,0.12526,0.01771,0.02547,0.06579,0.00930
5,0.01999,0.94488,0.13362,0.18815,0.11202,0.01584,0.00614,0.07126,0.01007
6,0.02000,0.93802,0.13265,0.18134,0.10125,0.01432,0.01218,0.06831,0.00966
7,0.00499,0.87989,0.12443,0.15990,0.10586,0.01497,0.02118,0.07257,0.01026
8,0.02000,1.11848,0.15817,0.14466,0.11097,0.01569,0.01564,0.06125,0.00866
9,0.00799,0.91298,0.12911,0.13316,0.10597,0.01498,0.00239,0.07758,0.01097
10,0.02000,0.96306,0.13619,0.14024,0.10090,0.01426,0.02225,0.07119,0.01006
11,0.02000,0.84142,0.11899,0.15644,0.09959,0.01408,0.01294,0.07013,0.00991
12,0.01999,0.90719,0.12829,0.16235,0.10623,0.01502,0.00315,0.06330,0.00895
13,0.01299,1.10380,0.15610,0.16685,0.11756,0.01662,0.01201,0.06716,0.00949
14,0.00499,1.03005,0.14567,0.18375,0.11611,0.01642,0.02127,0.08599,0.01216
15,0.00699,0.96509,0.13648,0.20557,0.12586,0.01780,0.00703,0.05686,0.00804
16,0.01299,0.99838,0.14119,0.21163,0.13909,0.01967,0.00268,0.07213,0.01020
17,0.01700,0.87821,0.12419,0.21354,0.15190,0.02148,0.00090,0.06273,0.00887
18,0.00000,0.84557,0.11958,0.23152,0.16235,0.02296,0.03004,0.05218,0.00738
19,0.00800,0.89237,0.12620,0.24652,0.15096,0.02134,0.00233,0.07214,0.01020
20,0.01200,0.92943,0.13144,0.24274,0.14457,0.02044,0.01116,0.05970,0.00844
21,0.01299,1.10994,0.15696,0.24153,0.13281,0.01878,0.00184,0.06727,0.00951
22,0.01699,1.02652,0.14517,0.24677,0.14252,0.02015,0.01811,0.06877,0.00972
23,0.00400,1.02532,0.14500,0.25482,0.14901,0.02107,0.00329,0.06315,0.00893
24,0.01800,1.17880,0.16670,0.25732,0.14909,0.02108,0.00315,0.07402,0.01046
25,0.02000,1.04206,0.14737,0.25485,0.15470,0.02187,0.00835,0.06580,0.00930
26,0.01499,1.06213,0.15020,0.24710,0.15986,0.02260,0.01851,0.05988,0.00846
27,0.02000,0.99242,0.14034,0.24090,0.16982,0.02401,0.00513,0.07258,0.01026
28,0.00399,0.90281,0.12767,0.23859,0.18797,0.02658,0.01055,0.05368,0.00759
29,0.00699,0.79429,0.11232,0.24801,0.18139,0.02565,0.00475,0.05822,0.00823
30,0.02000,0.92130,0.13029,0.24187,0.18551,0.02623,0.00829,0.05976,0.00845
31,0.00999,0.77336,0.10937,0.24521,0.19515,0.02759,0.00567,0.05934,0.00839
32,0.00500,0.90984,0.12867,0.25629,0.18397,0.02601,0.00500,0.06168,0.00872
33,0.02000,1.01098,0.14297,0.25246,0.17443,0.02466,0.00880,0.06113,0.00864
34,0.00000,1.05038,0.14854,0.23361,0.17308,0.02447,0.00868,0.06905,0.00976
35,0.00999,1.07335,0.15179,0.22906,0.17130,0.02422,0.00487,0.06310,0.00892
36,0.01700,1.11137,0.15717,0.22642,0.17254,0.02440,0.00427,0.06605,0.00934
37,0.00199,1.02337,0.14472,0.22648,0.16507,0.02334,0.00155,0.06469,0.00914
38,0.01999,1.05546,0.14926,0.22011,0.15481,0.02189,0.00055,0.06122,0.00865
39,0.01000,1.01739,0.14388,0.22133,0.15149,0.02142,0.00815,0.07048,0.00996
40,0.00700,0.96803,0.13690,0.23376,0.16436,0.02324,0.00324,0.05897,0.00834
41,0.01299,0.82132,0.11615,0.23441,0.16249,0.02298,0.00339,0.06800,0.00961
42,0.00299,0.95065,0.13444,0.24099,0.15756,0.02228,0.00526,0.06817,0.00964
43,0.02000,1.04704,0.14807,0.24657,0.16222,0.02294,0.00663,0.06716,0.00949
44,0.01000,0.91564,0.12949,0.23840,0.18521,0.02619,0.00614,0.07511,0.01062
45,0.00300,0.72238,0.10216,0.23508,0.18757,0.02652,0.00115,0.04652,0.00658
46,0.00800,0.79229,0.11204,0.24433,0.18619,0.02633,0.02036,0.06266,0.00886
47,0.01999,0.91624,0.12957,0.25612,0.16768,0.02371,0.00739,0.07793,0.01102
48,0.00200,1.05550,0.14927,0.25687,0.17115,0.02420,0.00652,0.05464,0.00772
49,0.01000,1.01069,0.14293,0.25232,0.17620,0.02491,0.00089,0.05344,0.00755
50,0.01999,1.02313,0.14469,0.25823,0.18164,0.02568,0.00950,0.06564,0.00928
51,0.02000,1.05014,0.14851,0.24737,0.18217,0.02576,0.01539,0.05577,0.00788
52,0.00799,1.02437,0.14486,0.24388,0.16663,0.02356,0.00198,0.06649,0.00940
53,0.02000,1.02669,0.14519,0.24358,0.16386,0.02317,0.00771,0.07170,0.01014
54,0.00799,0.92413,0.13069,0.24065,0.15727,0.02224,0.01607,0.06869,0.00971
55,0.00600,0.84128,0.11897,0.21865,0.14876,0.02103,0.02444,0.05997,0.00848
56,0.02000,1.15169,0.16287,0.20167,0.14194,0.02007,0.00607,0.05498,0.00777
57,0.02000,1.08429,0.15334,0.19976,0.14183,0.02005,0.01872,0.07116,0.01006
58,0.01299,0.96497,0.13646,0.21311,0.14982,0.02118,0.01923,0.05074,0.00717
59,0.01699,1.01092,0.14296,0.22843,0.16214,0.02293,0.00207,0.05749,0.00813
60,0.02000,0.95299,0.13477,0.22434,0.16448,0.02326,0.01847,0.06405,0.00905
61,0.02000,1.01626,0.14372,0.22128,0.16684,0.02359,0.00118,0.07112,0.01005
62,0.01999,0.98280,0.13898,0.22939,0.15846,0.02241,0.00514,0.05734,0.00810
63,0.01699,0.95658,0.13528,0.22544,0.15506,0.02192,0.00780,0.06144,0.00869
64,0.01499,0.86621,0.12250,0.21798,0.16194,0.02290,0.00332,0.07147,0.01010
65,0.02000,0.96488,0.13645,0.22554,0.17018,0.02406,0.00635,0.06290,0.00889
66,0.00499,0.90527,0.12802,0.23493,0.17014,0.02406,0.01045,0.07468,0.01056
67,0.02000,1.10285,0.15596,0.24252,0.17838,0.02522,0.00871,0.06747,0.00954
68,0.00799,1.15781,0.16373,0.25283,0.18305,0.02588,0.01492,0.06701,0.00947
69,0.00100,1.08813,0.15388,0.26087,0.18399,0.02602,0.00112,0.07322,0.01035
