Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.00500,0.42511,0.06012,0.03938,0.01350,0.00190,0.03005,0.05997,0.00848
2,0.01999,1.00274,0.14180,0.13606,0.05908,0.00835,0.05651,0.07035,0.00994
3,0.01000,0.64598,0.09135,0.17274,0.10760,0.01521,0.02269,0.05532,0.00782
4,0.00199,0.69985,0.09897,0.19140,0.12715,0.01798,0.02501,0.07170,0.01014
5,0.02000,0.73613,0.10410,0.22758,0.14548,0.02057,0.03912,0.07081,0.01001
6,0.02000,0.88504,0.12516,0.25175,0.14701,0.02079,0.01074,0.08104,0.01146
7,0.02000,0.77246,0.10924,0.25915,0.14058,0.01988,0.00833,0.07274,0.01028
8,0.00999,1.00871,0.14265,0.26408,0.13354,0.01888,0.00145,0.06567,0.00928
9,0.00999,0.84403,0.11936,0.27239,0.12050,0.01704,0.00890,0.07562,0.01069
10,0.02000,0.73925,0.10454,0.27891,0.12210,0.01726,0.00957,0.07406,0.01047
11,0.02000,0.89626,0.12675,0.29407,0.12902,0.01824,0.01208,0.06114,0.00864
12,0.00199,0.81859,0.11576,0.30599,0.13331,0.01885,0.00894,0.07914,0.01119
13,0.00700,0.91203,0.12898,0.31638,0.13919,0.01968,0.00087,0.07051,0.00997
14,0.01999,1.02107,0.14440,0.31740,0.15750,0.02227,0.00090,0.07252,0.01025
15,0.00500,0.78219,0.11061,0.32057,0.16310,0.02306,0.00474,0.08829,0.01248
16,0.00000,0.89297,0.12628,0.32393,0.15672,0.02216,0.00469,0.08577,0.01213
17,0.00499,0.84393,0.11935,0.32533,0.17176,0.02429,0.00918,0.07382,0.01043
18,0.00000,0.86290,0.12203,0.33558,0.19415,0.02745,0.02562,0.09554,0.01351
19,0.01000,0.92476,0.13078,0.37107,0.19568,0.02767,0.02353,0.09854,0.01393
20,0.00700,0.81737,0.11559,0.40680,0.21471,0.03036,0.01310,0.08027,0.01135
21,0.00816,0.83362,0.11908,0.39427,0.18607,0.02658,0.02690,0.08532,0.01218
22,0.01020,0.83879,0.11982,0.37392,0.22881,0.03268,0.04363,0.08878,0.01268
23,0.00520,0.97265,0.14039,0.33361,0.19131,0.02761,0.02854,0.07723,0.01114
24,0.01041,0.82625,0.11926,0.30459,0.20009,0.02888,0.00770,0.08605,0.01242
25,0.02083,1.05725,0.15260,0.32273,0.20302,0.02930,0.03107,0.10174,0.01468
26,0.01354,0.95397,0.13769,0.35177,0.20686,0.02985,0.01727,0.08875,0.01281
27,0.00208,0.84932,0.12258,0.36251,0.20329,0.02934,0.00729,0.09571,0.01381
28,0.01354,0.97807,0.14117,0.36149,0.20761,0.02996,0.00293,0.10945,0.01579
