Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.01086,0.50518,0.10533,0.03895,0.01432,0.00298,0.02782,0.06102,0.01272
2,0.01086,0.99071,0.20657,0.13960,0.06087,0.01269,0.06018,0.07919,0.01651
3,0.01739,0.84023,0.17520,0.17859,0.10823,0.02256,0.00652,0.04939,0.01029
4,0.04347,0.78301,0.16326,0.16180,0.11545,0.02407,0.04173,0.08119,0.01693
5,0.02826,0.73762,0.15380,0.12426,0.08781,0.01831,0.02573,0.09380,0.01955
6,0.00652,0.94239,0.19650,0.10179,0.07863,0.01639,0.01205,0.06830,0.01424
7,0.00217,0.85814,0.17893,0.09082,0.07429,0.01549,0.00745,0.06917,0.01442
8,0.01086,0.72336,0.15083,0.08182,0.05621,0.01172,0.05542,0.05750,0.01199
9,0.00434,0.81346,0.16961,0.08290,0.06346,0.01323,0.02526,0.05915,0.01233
10,0.02826,0.92216,0.19228,0.09297,0.05217,0.01087,0.03369,0.07414,0.01545
11,0.03695,1.12619,0.23482,0.07888,0.06727,0.01402,0.03393,0.05474,0.01141
12,0.02826,0.81398,0.16972,0.07737,0.07560,0.01576,0.00818,0.08188,0.01707
13,0.00434,0.97911,0.20416,0.10945,0.07419,0.01547,0.00630,0.06018,0.01254
14,0.00217,0.83996,0.17514,0.12833,0.06628,0.01382,0.01168,0.07709,0.01607
15,0.03695,0.90496,0.18869,0.12557,0.07188,0.01498,0.00097,0.06707,0.01398
16,0.00434,1.01776,0.21221,0.11147,0.08504,0.01773,0.00266,0.07797,0.01625
17,0.04347,1.04301,0.21748,0.11491,0.06388,0.01332,0.00037,0.07661,0.01597
18,0.01086,1.02723,0.21419,0.11365,0.07400,0.01543,0.00259,0.06614,0.01379
19,0.04347,0.86316,0.17998,0.12755,0.06811,0.01420,0.00047,0.06346,0.01323
20,0.04347,0.74982,0.15635,0.12306,0.08242,0.01718,0.00693,0.07619,0.01588
21,0.02608,0.89002,0.18558,0.12719,0.09540,0.01989,0.02088,0.06193,0.01291
22,0.02826,0.87871,0.18322,0.11869,0.11900,0.02481,0.00068,0.05579,0.01163
23,0.02608,0.79644,0.16606,0.12068,0.12401,0.02585,0.00481,0.06177,0.01288
24,0.04347,1.07907,0.22500,0.11126,0.12701,0.02648,0.00270,0.06099,0.01271
25,0.00000,0.94546,0.19714,0.11159,0.11962,0.02494,0.02666,0.07117,0.01484
26,0.03695,0.85162,0.17757,0.11622,0.12585,0.02624,0.01740,0.08149,0.01699
27,0.04347,0.74078,0.15446,0.13491,0.11346,0.02365,0.03016,0.06497,0.01354
28,0.00652,1.08290,0.22580,0.14568,0.10875,0.02267,0.01196,0.06532,0.01362
29,0.01304,1.07087,0.22329,0.15459,0.11842,0.02469,0.01325,0.06619,0.01380
30,0.03695,0.76997,0.16055,0.13966,0.12947,0.02699,0.00908,0.07682,0.01601
31,0.04347,1.10790,0.23101,0.13243,0.11554,0.02409,0.00204,0.09150,0.01908
32,0.04347,1.17587,0.24518,0.13370,0.11683,0.02436,0.00991,0.05929,0.01236
33,0.03913,0.79289,0.16533,0.13932,0.10678,0.02226,0.01385,0.08741,0.01822
