Count,Average Steering Change,Steering Change SD,Steering Change SE,Average Distance,Average Distance SD,Average Distance SE,Average Angle,Angle SD,Angle SE
1,0.02000,0.38935,0.05506,0.04845,0.00973,0.00137,0.08033,0.01631,0.00230
2,0.01500,0.69413,0.09816,0.21431,0.03738,0.00528,0.17728,0.03992,0.00564
3,0.01300,0.73306,0.10367,0.35687,0.07267,0.01027,0.05725,0.06339,0.00896
4,0.00000,0.60860,0.08606,0.40425,0.11770,0.01664,0.01821,0.09541,0.01349
5,0.00510,0.72430,0.10347,0.37720,0.06286,0.00898,0.03358,0.05090,0.00727
6,0.02040,0.77115,0.11016,0.32405,0.06658,0.00951,0.04051,0.04892,0.00698
7,0.02040,0.71549,0.10221,0.29926,0.07490,0.01070,0.00294,0.03801,0.00543
8,0.00510,0.76606,0.10943,0.28163,0.07253,0.01036,0.00725,0.06044,0.00863
9,0.02040,0.88634,0.12662,0.27336,0.08495,0.01213,0.00722,0.07464,0.01066
10,0.01326,0.82941,0.11848,0.28527,0.12740,0.01820,0.01939,0.10227,0.01461
11,0.00714,0.82635,0.11805,0.27740,0.12636,0.01805,0.00100,0.10488,0.01498
12,0.02040,0.88317,0.12616,0.26197,0.13043,0.01863,0.00575,0.11446,0.01635
13,0.02040,0.82572,0.11796,0.26764,0.14077,0.02011,0.03167,0.11376,0.01625
14,0.00204,0.83519,0.11931,0.28103,0.16447,0.02349,0.02929,0.13051,0.01864
15,0.00208,0.71857,0.10371,0.26881,0.12620,0.01821,0.01848,0.10346,0.01493
16,0.00312,0.93515,0.13497,0.27649,0.12594,0.01817,0.01973,0.10422,0.01504
17,0.00208,0.95948,0.13849,0.28136,0.13713,0.01979,0.01767,0.10623,0.01533
18,0.00208,0.73484,0.10606,0.29053,0.14596,0.02106,0.02134,0.09770,0.01410
19,0.00729,0.62224,0.08981,0.29809,0.14580,0.02104,0.01540,0.09603,0.01386
20,0.01063,0.63955,0.09328,0.27877,0.08718,0.01271,0.00775,0.03390,0.00494
21,0.0,0.53713,0.07834,0.27319,0.07448,0.01086,0.00094,0.03711,0.00541
22,0.00212,0.70014,0.10212,0.27422,0.06964,0.01015,0.00344,0.02716,0.00396
23,0.00212,0.79913,0.11656,0.27293,0.06024,0.00878,0.00293,0.04692,0.00684
24,0.00212,0.68796,0.10034,0.26821,0.05345,0.00779,0.00498,0.02993,0.00436
25,0.00106,0.83827,0.12227,0.26043,0.04627,0.00674,0.00552,0.02997,0.00437
26,0.00000,0.86140,0.12564,0.25386,0.05170,0.00754,0.00514,0.03756,0.00547
27,0.00000,0.70371,0.10264,0.25360,0.05468,0.00797,0.00596,0.03423,0.00499
28,0.00000,0.75364,0.10993,0.25833,0.05536,0.00807,0.00096,0.03692,0.00538
29,0.00000,0.56399,0.08226,0.26128,0.05790,0.00844,0.00474,0.02553,0.00372
30,0.00106,0.50175,0.07318,0.26726,0.04675,0.00682,0.00325,0.03402,0.00496
31,0.00212,0.57213,0.08345,0.26612,0.04002,0.00583,0.00300,0.02692,0.00392
32,0.00638,0.57051,0.08321,0.26223,0.04306,0.00628,0.00600,0.03559,0.00519
33,0.01276,0.54922,0.08011,0.25578,0.05232,0.00763,0.00252,0.02706,0.00394
34,0.01914,0.61769,0.09010,0.25755,0.04954,0.00722,0.00442,0.03390,0.00494
35,0.01808,0.55586,0.08108,0.25716,0.04950,0.00722,0.00440,0.03484,0.00508
36,0.00212,0.64642,0.09429,0.25642,0.05273,0.00769,0.00023,0.03305,0.00482
37,0.00319,0.66918,0.09761,0.25254,0.05433,0.00792,0.00547,0.03261,0.00475
38,0.00212,0.63438,0.09253,0.25208,0.04386,0.00639,0.00369,0.03671,0.00535
39,0.00000,0.61540,0.08976,0.25354,0.04939,0.00720,0.00016,0.02783,0.00406
40,0.00212,0.58862,0.08586,0.25577,0.04844,0.00706,0.00380,0.02391,0.00348
41,0.00744,0.71533,0.10434,0.26156,0.04729,0.00689,0.00475,0.02784,0.00406
42,0.02127,0.76246,0.11121,0.25920,0.04390,0.00640,0.00848,0.04120,0.00601
43,0.01063,0.67200,0.09802,0.25233,0.05646,0.00823,0.00304,0.03031,0.00442
44,0.00851,0.69804,0.10182,0.25761,0.04947,0.00721,0.00997,0.03994,0.00582
45,0.02127,0.65124,0.09499,0.25784,0.05078,0.00740,0.00343,0.03252,0.00474
46,0.02127,0.55339,0.08072,0.26044,0.04959,0.00723,0.00754,0.03361,0.00490
47,0.00212,0.65582,0.09566,0.26845,0.05139,0.00749,0.00127,0.03518,0.00513
48,0.00319,0.67354,0.09824,0.26562,0.04430,0.00646,0.00185,0.03672,0.00535
49,0.00000,0.72081,0.10514,0.26798,0.04275,0.00623,0.00169,0.03038,0.00443
50,0.00212,0.77335,0.11280,0.26196,0.04610,0.00672,0.00605,0.03674,0.00536
51,0.00319,0.65056,0.09489,0.26441,0.04683,0.00683,0.00564,0.03436,0.00501
52,0.00744,0.63363,0.09242,0.26542,0.04681,0.00682,0.00297,0.03009,0.00438
53,0.02127,0.68110,0.09934,0.26674,0.04520,0.00659,0.00461,0.03087,0.00450
54,0.02127,0.58106,0.08475,0.26980,0.04116,0.00600,0.00151,0.03840,0.00560
55,0.01063,0.60300,0.08795,0.26521,0.04429,0.00646,0.00208,0.02859,0.00417
56,0.00851,0.63617,0.09279,0.27252,0.03995,0.00582,0.01019,0.03472,0.00506
57,0.00212,0.53811,0.07849,0.27206,0.04202,0.00612,0.00622,0.03264,0.00476
58,0.00744,0.59349,0.08656,0.26834,0.04743,0.00691,0.00251,0.02966,0.00432
59,0.02127,0.56207,0.08198,0.26835,0.04281,0.00624,0.00392,0.03582,0.00522
60,0.01595,0.54393,0.07934,0.27591,0.04063,0.00592,0.00659,0.03227,0.00470
61,0.00319,0.67755,0.09883,0.27932,0.03714,0.00541,0.00133,0.03051,0.00445
62,0.00531,0.58693,0.08561,0.27893,0.03600,0.00525,0.00467,0.02727,0.00397
63,0.00531,0.53238,0.07765,0.27499,0.03695,0.00539,0.00068,0.02082,0.00303
64,0.00212,0.64387,0.09391,0.27767,0.04074,0.00594,0.00115,0.03344,0.00487
65,0.00000,0.64370,0.09389,0.27491,0.04589,0.00669,0.00405,0.03380,0.00493
66,0.00000,0.66179,0.09653,0.27565,0.04414,0.00643,0.00372,0.02868,0.00418
67,0.00212,0.70710,0.10314,0.27744,0.04222,0.00615,0.00038,0.03234,0.00471
68,0.00851,0.59869,0.08732,0.27491,0.04159,0.00606,0.00317,0.02729,0.00398
69,0.01063,0.57814,0.08433,0.27250,0.04093,0.00597,0.00291,0.03166,0.00461
70,0.00319,0.58885,0.08589,0.26913,0.04122,0.00601,0.00112,0.03202,0.00467
71,0.00000,0.60511,0.08826,0.27042,0.04004,0.00584,0.00277,0.03455,0.00504
72,0.00319,0.66838,0.09749,0.26885,0.04248,0.00619,0.00206,0.03432,0.00500
73,0.02127,0.56997,0.08313,0.26613,0.04263,0.00621,0.00238,0.03490,0.00509
74,0.00744,0.48146,0.07022,0.26676,0.04768,0.00695,0.00398,0.03259,0.00475
75,0.00531,0.53367,0.07784,0.26573,0.04867,0.00709,0.00651,0.03163,0.00461
76,0.00851,0.55613,0.08112,0.26133,0.04803,0.00700,0.00131,0.03118,0.00454
77,0.01808,0.57588,0.08400,0.26845,0.04655,0.00679,0.00874,0.03434,0.00500
78,0.02127,0.51743,0.07547,0.26980,0.04642,0.00677,0.00590,0.02824,0.00412
79,0.00531,0.54247,0.07912,0.25999,0.04004,0.00584,0.00864,0.02918,0.00425
80,0.00106,0.76286,0.11127,0.25647,0.04901,0.00714,0.00238,0.02964,0.00432
81,0.00106,0.81263,0.11853,0.25608,0.04827,0.00704,0.00135,0.03764,0.00549
82,0.00000,0.66931,0.09762,0.25345,0.04555,0.00664,0.00012,0.03463,0.00505
83,0.00000,0.64172,0.09360,0.25488,0.03786,0.00552,0.00058,0.03199,0.00466
84,0.00000,0.67445,0.09837,0.25218,0.04045,0.00590,0.00002,0.03015,0.00439
85,0.00212,0.52622,0.07675,0.26292,0.04061,0.00592,0.01001,0.03608,0.00526
86,0.00000,0.29463,0.04297,0.26109,0.04758,0.00694,0.01010,0.02599,0.00379
87,0.00000,0.53554,0.07811,0.25527,0.04756,0.00693,0.00122,0.02962,0.00432
88,0.00106,0.60577,0.08836,0.26090,0.04541,0.00662,0.00620,0.03002,0.00437
89,0.00106,0.57394,0.08371,0.26175,0.04319,0.00630,0.00262,0.03074,0.00448
90,0.00212,0.52612,0.07674,0.25504,0.04295,0.00626,0.01034,0.02896,0.00422
91,0.00106,0.67607,0.09861,0.24305,0.04127,0.00602,0.00614,0.03128,0.00456
92,0.00000,0.75152,0.10962,0.24677,0.04798,0.00699,0.01211,0.03300,0.00481
93,0.00000,0.66875,0.09754,0.25588,0.04930,0.00719,0.00220,0.03916,0.00571
94,0.00212,0.63337,0.09238,0.25784,0.04610,0.00672,0.00136,0.03767,0.00549
95,0.00000,0.56314,0.08214,0.26234,0.04441,0.00647,0.00033,0.03151,0.00459
96,0.00319,0.56900,0.08299,0.25949,0.04426,0.00645,0.00090,0.03189,0.00465
97,0.00425,0.60307,0.08796,0.26598,0.04057,0.00591,0.00764,0.03266,0.00476
98,0.00851,0.63784,0.09303,0.26846,0.03820,0.00557,0.00012,0.02559,0.00373
99,0.00744,0.72800,0.10619,0.26922,0.03648,0.00532,0.00270,0.03665,0.00534
100,0.00319,0.51637,0.07532,0.26573,0.03951,0.00576,0.00273,0.03147,0.00459
101,0.00212,0.54205,0.07906,0.27211,0.04075,0.00594,0.01026,0.02835,0.00413
102,0.00106,0.64999,0.09481,0.27551,0.04085,0.00595,0.00386,0.03674,0.00535
103,0.00000,0.57260,0.08352,0.26690,0.04728,0.00689,0.00641,0.02901,0.00423
104,0.00212,0.69465,0.10132,0.27024,0.05204,0.00759,0.00632,0.02999,0.00437
105,0.00319,0.63450,0.09255,0.26583,0.04943,0.00721,0.00750,0.02978,0.00434
106,0.00425,0.62567,0.09126,0.26589,0.04512,0.00658,0.00439,0.02706,0.00394
107,0.00106,0.61717,0.09002,0.26897,0.04745,0.00692,0.00134,0.03001,0.00437
108,0.00000,0.54665,0.07973,0.26809,0.04930,0.00719,0.00093,0.02846,0.00415
109,0.00000,0.54694,0.07978,0.27048,0.04728,0.00689,0.00290,0.02419,0.00352
110,0.00106,0.43838,0.06394,0.26945,0.04489,0.00654,0.00176,0.02686,0.00391
111,0.00106,0.54640,0.07970,0.26828,0.04170,0.00608,0.00228,0.02519,0.00367
112,0.00212,0.44625,0.06509,0.26627,0.04529,0.00660,0.00034,0.03179,0.00463
113,0.00106,0.55221,0.08054,0.27057,0.04561,0.00665,0.00249,0.02555,0.00372
114,0.00212,0.72324,0.10549,0.26520,0.04466,0.00651,0.00838,0.03584,0.00522
115,0.00319,0.62716,0.09148,0.26020,0.04909,0.00716,0.00150,0.03061,0.00446
116,0.0,0.58355,0.08511,0.26219,0.04446,0.00648,0.00488,0.03332,0.00486
117,0.00212,0.64971,0.09476,0.26808,0.04100,0.00598,0.00276,0.03327,0.00485
118,0.00000,0.65760,0.09592,0.26430,0.04553,0.00664,0.00842,0.02643,0.00385
119,0.00000,0.67729,0.09879,0.25696,0.04481,0.00653,0.00387,0.03324,0.00484
120,0.00106,0.75783,0.11054,0.25651,0.05039,0.00735,0.00386,0.02662,0.00388
121,0.00106,0.77812,0.11350,0.25745,0.04787,0.00698,0.00086,0.04024,0.00587
122,0.01595,0.74341,0.10843,0.25399,0.04481,0.00653,0.00270,0.03047,0.00444
123,0.02127,0.77560,0.11313,0.25805,0.04786,0.00698,0.00779,0.04032,0.00588
124,0.00531,0.67981,0.09916,0.26143,0.04041,0.00589,0.00004,0.03628,0.00529
125,0.00851,0.63223,0.09222,0.25742,0.04112,0.00599,0.00729,0.03060,0.00446
126,0.01063,0.70453,0.10276,0.25179,0.04900,0.00714,0.00061,0.04085,0.00595
127,0.00638,0.77518,0.11307,0.25904,0.05254,0.00766,0.00672,0.03311,0.00482
128,0.00000,0.74904,0.10925,0.25798,0.04792,0.00699,0.00435,0.04337,0.00632
129,0.00212,0.63831,0.09310,0.25731,0.04612,0.00672,0.00352,0.03297,0.00480
130,0.00531,0.70967,0.10351,0.26453,0.04941,0.00720,0.00376,0.03822,0.00557
131,0.00531,0.66988,0.09771,0.25841,0.05146,0.00750,0.00751,0.03136,0.00457
132,0.00319,0.83088,0.12119,0.26059,0.04618,0.00673,0.00653,0.03443,0.00502
133,0.00000,0.82442,0.12025,0.25998,0.03785,0.00552,0.00466,0.03626,0.00528
134,0.00000,0.70075,0.10221,0.25696,0.04241,0.00618,0.00154,0.02668,0.00389
